Order ID,Sale_Date,Ship Date,Customer ID,Customer Name,Customer_Type,Country,City,State,Region,Product_ID,Product_Category,Sub-Category,Product Name,Sales_Amount,Quantity_Sold,Discount,Profit,Sales_Channel,Sales_Rep,Payment_Method,Unit_Cost,Unit_Price,Year,Month,Quarter,Profit_Margin,Customer_Segment
CA-2025-100001,2025-04-25,2025-04-26,AA-10480,Andrew Allen,2,USA,Dallas,Texas,0,FUR-DE-10004567,0,Desks,Office Desk,2036.56,2,0.0,-407.3119999999999,0,0,1,1221.936,1018.28,2025,4,2,-20.0,3
CA-2025-100002,2025-02-02,2025-02-03,DV-13045,Darrin Van Huff,1,USA,Dallas,Texas,0,TEC-LA-10000221,2,Laptops,Laptop,677.0,1,0.2,270.8,0,4,2,406.2,677.0,2025,2,1,40.0,3
CA-2025-100003,2025-10-12,2025-10-13,SO-20335,Sean O'Donnell,0,USA,Boston,Massachusetts,1,OFF-ST-10000760,1,Storage,Storage Cart,843.58,3,0.15,-674.8639999999999,1,3,2,506.148,281.1933333333333,2025,10,4,-79.99999999999999,3
CA-2025-100004,2026-01-25,2026-01-26,EH-13945,Emily Harper,1,USA,Atlanta,Georgia,2,OFF-ST-10000760,1,Storage,Storage Cart,1097.3,1,0.0,438.92,1,4,2,658.38,1097.3,2026,1,1,40.0,3
CA-2025-100005,2026-01-23,2026-01-24,RT-17090,Robert Taylor,1,USA,Atlanta,Georgia,2,TEC-AC-10003033,2,Accessories,Wireless Mouse,5221.53,6,0.0,-13575.978000000005,1,1,0,3132.918,870.255,2026,1,1,-260.00000000000006,0
CA-2025-100006,2025-08-22,2025-08-25,DV-13045,Darrin Van Huff,1,USA,Dallas,Texas,0,OFF-PA-10000345,1,Paper,A4 Paper,2913.72,5,0.15,-5827.439999999999,0,2,2,1748.2319999999995,582.7439999999999,2025,8,3,-200.0,2
CA-2025-100007,2025-12-30,2026-01-01,AA-10480,Andrew Allen,2,USA,Seattle,Washington,3,TEC-LA-10000221,2,Laptops,Laptop,811.1,4,0.2,-1135.54,1,3,0,486.66,202.775,2025,12,4,-140.0,2
CA-2025-100008,2025-08-13,2025-08-16,CG-12520,Claire Gute,0,USA,Dallas,Texas,0,OFF-BI-10001524,1,Binders,Premium Binder,2719.41,7,0.05,-8702.112,1,0,1,1631.646,388.4871428571428,2025,8,3,-320.0,0
CA-2025-100009,2025-11-19,2025-11-21,LM-15800,Linda Moore,2,USA,Philadelphia,Pennsylvania,1,TEC-PH-10002275,2,Phones,IP Phone,1153.31,3,0.05,-922.648,0,1,2,691.986,384.43666666666667,2025,11,4,-80.00000000000001,3
CA-2025-100010,2025-09-27,2025-10-02,JM-14520,James Miller,0,USA,Boston,Massachusetts,1,OFF-LA-10000240,1,Labels,Address Labels,2307.58,3,0.0,-1846.0640000000003,1,3,0,1384.548,769.1933333333333,2025,9,3,-80.00000000000001,3
