Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Region,State,City,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Ship Mode,Payment Mode
ORD-100001,2024-10-16,2024-10-17,CUST-9935,Customer 179,Home Office,West,Maharashtra,Nagpur,Office Supplies,Binders,Binders Model 132,5735.63,2,0.3,643.45,Standard Class,Card
ORD-100002,2023-08-12,2023-08-14,CUST-8359,Customer 1207,Corporate,North,Gujarat,Ahmedabad,Technology,Phones,Phones Model 877,17957.29,9,0.3,-525.5,Second Class,Cash
ORD-100003,2023-12-15,2023-12-18,CUST-5333,Customer 1653,Consumer,West,Karnataka,Bengaluru,Office Supplies,Binders,Binders Model 649,2500.1,6,0,665.33,Standard Class,Cash
ORD-100004,2023-03-22,2023-03-27,CUST-2307,Customer 1752,Consumer,North,Tamil Nadu,Coimbatore,Technology,Phones,Phones Model 489,17673.38,4,0,3979.83,First Class,Cash
ORD-100005,2024-10-12,2024-10-19,CUST-3803,Customer 1094,Home Office,South,Tamil Nadu,Chennai,Office Supplies,Paper,Paper Model 267,5395.77,2,0.1,620.63,Same Day,Cash
ORD-100006,2023-10-04,2023-10-10,CUST-6168,Customer 822,Corporate,North,Telangana,Hyderabad,Technology,Accessories,Accessories Model 316,21102.73,4,0,5317.71,First Class,UPI
ORD-100007,2024-11-02,2024-11-06,CUST-8019,Customer 1196,Corporate,East,Delhi,New Delhi,Furniture,Tables,Tables Model 324,3662.83,9,0.3,133.46,Second Class,Cash
ORD-100008,2023-04-04,2023-04-11,CUST-7304,Customer 782,Home Office,West,Maharashtra,Mumbai,Furniture,Bookcases,Bookcases Model 641,4167.55,7,0.3,283.5,First Class,Card
ORD-100009,2024-11-27,2024-12-03,CUST-3591,Customer 930,Consumer,East,Maharashtra,Nagpur,Technology,Accessories,Accessories Model 612,19261.25,2,0.1,-1128.23,Second Class,Card
ORD-100010,2024-10-02,2024-10-05,CUST-6310,Customer 1001,Consumer,North,Telangana,Hyderabad,Furniture,Tables,Tables Model 471,19110.27,9,0.2,5067.5,First Class,UPI
ORD-100011,2023-03-01,2023-03-03,CUST-3103,Customer 1352,Corporate,South,Gujarat,Ahmedabad,Furniture,Bookcases,Bookcases Model 371,12252.56,9,0,2710.38,Same Day,UPI
ORD-100012,2024-07-06,2024-07-13,CUST-9479,Customer 925,Consumer,South,Telangana,Hyderabad,Technology,Accessories,Accessories Model 330,10095.01,6,0.3,-192.26,Standard Class,Net Banking
ORD-100013,2023-01-22,2023-01-27,CUST-1514,Customer 1761,Corporate,North,Gujarat,Ahmedabad,Technology,Phones,Phones Model 626,378.33,1,0.3,-50.73,Second Class,Net Banking
ORD-100014,2024-11-16,2024-11-20,CUST-4119,Customer 194,Consumer,West,Karnataka,Bengaluru,Technology,Laptops,Laptops Model 462,14490.05,8,0.05,3392.46,Same Day,Cash
