Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2025-100001,2025-04-25,2025-04-26,AA-10480,Andrew Allen,Home Office,USA,Dallas,Texas,Central,FUR-DE-10004567,Furniture,Desks,Office Desk,2036.56,2,0.0,495.55
CA-2025-100002,2025-02-02,2025-02-03,DV-13045,Darrin Van Huff,Corporate,USA,Dallas,Texas,Central,TEC-LA-10000221,Technology,Laptops,Laptop,677.0,1,0.2,252.42
CA-2025-100003,2025-10-12,2025-10-13,SO-20335,Sean O'Donnell,Consumer,USA,Boston,Massachusetts,East,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,843.58,3,0.15,349.43
CA-2025-100004,2026-01-25,2026-01-26,EH-13945,Emily Harper,Corporate,USA,Atlanta,Georgia,South,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,1097.3,1,0.0,120.06
CA-2025-100005,2026-01-23,2026-01-24,RT-17090,Robert Taylor,Corporate,USA,Atlanta,Georgia,South,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,5221.53,6,0.0,2265.94
CA-2025-100006,2025-08-22,2025-08-25,DV-13045,Darrin Van Huff,Corporate,USA,Dallas,Texas,Central,OFF-PA-10000345,Office Supplies,Paper,A4 Paper,2913.72,5,0.15,1145.3
CA-2025-100007,2025-12-30,2026-01-01,AA-10480,Andrew Allen,Home Office,USA,Seattle,Washington,West,TEC-LA-10000221,Technology,Laptops,Laptop,811.1,4,0.2,288.36
CA-2025-100008,2025-08-13,2025-08-16,CG-12520,Claire Gute,Consumer,USA,Dallas,Texas,Central,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,2719.41,7,0.05,354.62
CA-2025-100009,2025-11-19,2025-11-21,LM-15800,Linda Moore,Home Office,USA,Philadelphia,Pennsylvania,East,TEC-PH-10002275,Technology,Phones,IP Phone,1153.31,3,0.05,218.27
CA-2025-100010,2025-09-27,2025-10-02,JM-14520,James Miller,Consumer,USA,Boston,Massachusetts,East,OFF-LA-10000240,Office Supplies,Labels,Address Labels,2307.58,3,0.0,428.0
CA-2025-100011,2025-04-23,2025-04-25,SO-20335,Sean O'Donnell,Consumer,USA,Philadelphia,Pennsylvania,East,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,2835.2,7,0.3,604.55
CA-2025-100012,2025-01-12,2025-01-13,RT-17090,Robert Taylor,Corporate,USA,Atlanta,Georgia,South,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,894.63,2,0.0,260.51
CA-2025-100013,2025-09-27,2025-10-02,SO-20335,Sean O'Donnell,Consumer,USA,Phoenix,Arizona,West,TEC-PR-10002311,Technology,Printers,Laser Printer,950.92,4,0.0,248.4
CA-2025-100014,2025-01-01,2025-01-06,EH-13945,Emily Harper,Corporate,USA,New York,New York,East,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,7124.2,6,0.1,2608.82
CA-2025-100015,2025-09-04,2025-09-09,DV-13045,Darrin Van Huff,Corporate,USA,Denver,Colorado,West,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,422.74,3,0.3,8.67
CA-2025-100016,2026-06-25,2026-06-30,JM-14520,James Miller,Consumer,USA,Chicago,Illinois,Central,OFF-LA-10000240,Office Supplies,Labels,Address Labels,2569.12,5,0.15,762.17
CA-2025-100017,2026-06-14,2026-06-18,DV-13045,Darrin Van Huff,Corporate,USA,Dallas,Texas,Central,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,235.64,6,0.05,57.51
CA-2025-100018,2025-01-08,2025-01-09,CG-12520,Claire Gute,Consumer,USA,Dallas,Texas,Central,FUR-BO-10001798,Furniture,Bookcases,Bookcase,658.79,6,0.05,232.25
CA-2025-100019,2026-05-13,2026-05-15,RT-17090,Robert Taylor,Corporate,USA,Chicago,Illinois,Central,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,2083.57,8,0.3,303.99
CA-2025-100020,2025-04-10,2025-04-14,EH-13945,Emily Harper,Corporate,USA,Boston,Massachusetts,East,TEC-PH-10002275,Technology,Phones,IP Phone,1013.31,1,0.0,434.49
CA-2025-100021,2025-12-14,2025-12-15,BH-11710,Brosina Hoffman,Consumer,USA,Dallas,Texas,Central,TEC-LA-10000221,Technology,Laptops,Laptop,1750.97,8,0.0,617.23
CA-2025-100022,2025-09-13,2025-09-14,LM-15800,Linda Moore,Home Office,USA,Los Angeles,California,West,TEC-PR-10002311,Technology,Printers,Laser Printer,1381.11,1,0.05,541.11
