Order ID,Sale_Date,Ship Date,Customer ID,Customer Name,Customer_Type,Country,City,State,Region,Product_ID,Product_Category,Sub-Category,Product Name,Sales_Amount,Quantity_Sold,Discount,Profit,Sales_Channel,Sales_Rep,Payment_Method,Unit_Cost,Unit_Price
CA-2025-100001,2025-04-25,2025-04-26,AA-10480,Andrew Allen,Home Office,USA,Dallas,Texas,Central,FUR-DE-10004567,Furniture,Desks,Office Desk,2036.56,2,0.0,495.55,Online,David,Credit Card,1221.936,1018.28
CA-2025-100002,2025-02-02,2025-02-03,DV-13045,Darrin Van Huff,Corporate,USA,Dallas,Texas,Central,TEC-LA-10000221,Technology,Laptops,Laptop,677.0,1,0.2,252.42,Online,David,PayPal,406.2,677.0
CA-2025-100003,2025-10-12,2025-10-13,SO-20335,Sean O'Donnell,Consumer,USA,Boston,Massachusetts,East,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,843.58,3,0.15,349.43,Online,Alice,Credit Card,506.148,281.1933333333333
CA-2025-100004,2026-01-25,2026-01-26,EH-13945,Emily Harper,Corporate,USA,Atlanta,Georgia,South,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,1097.3,1,0.0,120.06,Retail,Charlie,PayPal,658.38,1097.3
CA-2025-100005,2026-01-23,2026-01-24,RT-17090,Robert Taylor,Corporate,USA,Atlanta,Georgia,South,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,5221.53,6,0.0,2265.94,Retail,Bob,Bank Transfer,3132.918,870.255
CA-2025-100006,2025-08-22,2025-08-25,DV-13045,Darrin Van Huff,Corporate,USA,Dallas,Texas,Central,OFF-PA-10000345,Office Supplies,Paper,A4 Paper,2913.72,5,0.15,1145.3,Retail,Alice,Credit Card,1748.2319999999995,582.7439999999999
CA-2025-100007,2025-12-30,2026-01-01,AA-10480,Andrew Allen,Home Office,USA,Seattle,Washington,West,TEC-LA-10000221,Technology,Laptops,Laptop,811.1,4,0.2,288.36,Retail,Charlie,Credit Card,486.66,202.775
CA-2025-100008,2025-08-13,2025-08-16,CG-12520,Claire Gute,Consumer,USA,Dallas,Texas,Central,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,2719.41,7,0.05,354.62,Retail,Eve,PayPal,1631.646,388.4871428571428
CA-2025-100009,2025-11-19,2025-11-21,LM-15800,Linda Moore,Home Office,USA,Philadelphia,Pennsylvania,East,TEC-PH-10002275,Technology,Phones,IP Phone,1153.31,3,0.05,218.27,Retail,David,Bank Transfer,691.986,384.43666666666667
CA-2025-100010,2025-09-27,2025-10-02,JM-14520,James Miller,Consumer,USA,Boston,Massachusetts,East,OFF-LA-10000240,Office Supplies,Labels,Address Labels,2307.58,3,0.0,428.0,Retail,Eve,Bank Transfer,1384.548,769.1933333333333
CA-2025-100011,2025-04-23,2025-04-25,SO-20335,Sean O'Donnell,Consumer,USA,Philadelphia,Pennsylvania,East,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,2835.2,7,0.3,604.55,Retail,Bob,PayPal,1701.12,405.0285714285714
CA-2025-100012,2025-01-12,2025-01-13,RT-17090,Robert Taylor,Corporate,USA,Atlanta,Georgia,South,OFF-BI-10001524,Office Supplies,Binders,Premium Binder,894.63,2,0.0,260.51,Retail,Eve,PayPal,536.778,447.315
CA-2025-100013,2025-09-27,2025-10-02,SO-20335,Sean O'Donnell,Consumer,USA,Phoenix,Arizona,West,TEC-PR-10002311,Technology,Printers,Laser Printer,950.92,4,0.0,248.4,Retail,Bob,Bank Transfer,570.5519999999999,237.73
CA-2025-100014,2025-01-01,2025-01-06,EH-13945,Emily Harper,Corporate,USA,New York,New York,East,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,7124.2,6,0.1,2608.82,Retail,Bob,PayPal,4274.52,1187.3666666666666
CA-2025-100015,2025-09-04,2025-09-09,DV-13045,Darrin Van Huff,Corporate,USA,Denver,Colorado,West,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,422.74,3,0.3,8.67,Retail,Eve,Credit Card,253.644,140.91333333333333
CA-2025-100016,2026-06-25,2026-06-30,JM-14520,James Miller,Consumer,USA,Chicago,Illinois,Central,OFF-LA-10000240,Office Supplies,Labels,Address Labels,2569.12,5,0.15,762.17,Online,Bob,PayPal,1541.472,513.824
CA-2025-100017,2026-06-14,2026-06-18,DV-13045,Darrin Van Huff,Corporate,USA,Dallas,Texas,Central,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,235.64,6,0.05,57.51,Retail,Eve,PayPal,141.384,39.27333333333333
CA-2025-100018,2025-01-08,2025-01-09,CG-12520,Claire Gute,Consumer,USA,Dallas,Texas,Central,FUR-BO-10001798,Furniture,Bookcases,Bookcase,658.79,6,0.05,232.25,Retail,David,Credit Card,395.274,109.79833333333332
CA-2025-100019,2026-05-13,2026-05-15,RT-17090,Robert Taylor,Corporate,USA,Chicago,Illinois,Central,TEC-AC-10003033,Technology,Accessories,Wireless Mouse,2083.57,8,0.3,303.99,Retail,David,PayPal,1250.142,260.44625
CA-2025-100020,2025-04-10,2025-04-14,EH-13945,Emily Harper,Corporate,USA,Boston,Massachusetts,East,TEC-PH-10002275,Technology,Phones,IP Phone,1013.31,1,0.0,434.49,Retail,Eve,Credit Card,607.986,1013.31
CA-2025-100021,2025-12-14,2025-12-15,BH-11710,Brosina Hoffman,Consumer,USA,Dallas,Texas,Central,TEC-LA-10000221,Technology,Laptops,Laptop,1750.97,8,0.0,617.23,Retail,Bob,PayPal,1050.582,218.87125
CA-2025-100022,2025-09-13,2025-09-14,LM-15800,Linda Moore,Home Office,USA,Los Angeles,California,West,TEC-PR-10002311,Technology,Printers,Laser Printer,1381.11,1,0.05,541.11,Online,Bob,Bank Transfer,828.6659999999999,1381.11
CA-2025-100023,2026-05-13,2026-05-17,BH-11710,Brosina Hoffman,Consumer,USA,New York,New York,East,FUR-DE-10004567,Furniture,Desks,Office Desk,73.98,7,0.2,26.42,Retail,David,Credit Card,44.388,10.56857142857143
CA-2025-100024,2026-04-11,2026-04-14,JM-14520,James Miller,Consumer,USA,New York,New York,East,OFF-LA-10000240,Office Supplies,Labels,Address Labels,1671.87,5,0.0,413.43,Retail,David,PayPal,1003.1219999999998,334.374
CA-2025-100025,2025-03-04,2025-03-07,CG-12520,Claire Gute,Consumer,USA,Denver,Colorado,West,TEC-LA-10000221,Technology,Laptops,Laptop,284.25,3,0.0,43.21,Retail,David,Credit Card,170.54999999999998,94.75
CA-2025-100026,2025-03-12,2025-03-17,DV-13045,Darrin Van Huff,Corporate,USA,Austin,Texas,Central,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,3490.36,4,0.0,814.01,Online,Bob,Bank Transfer,2094.216,872.59
CA-2025-100027,2026-03-06,2026-03-11,SB-18120,Sophia Brown,Consumer,USA,Henderson,Kentucky,South,OFF-LA-10000240,Office Supplies,Labels,Address Labels,1755.08,6,0.2,709.39,Online,Charlie,Bank Transfer,1053.048,292.5133333333333
CA-2025-100028,2025-11-04,2025-11-08,EH-13945,Emily Harper,Corporate,USA,Los Angeles,California,West,TEC-PH-10002275,Technology,Phones,IP Phone,226.4,2,0.05,61.79,Online,Charlie,Credit Card,135.84,113.2
CA-2025-100029,2025-05-16,2025-05-19,DV-13045,Darrin Van Huff,Corporate,USA,Austin,Texas,Central,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,1789.82,3,0.1,422.24,Retail,Bob,Bank Transfer,1073.8919999999998,596.6066666666667
CA-2025-100030,2025-01-09,2025-01-14,AA-10480,Andrew Allen,Home Office,USA,Seattle,Washington,West,OFF-ST-10000760,Office Supplies,Storage,Storage Cart,2671.34,2,0.0,947.47,Online,Alice,Bank Transfer,1602.804,1335.67
CA-2025-100031,2025-08-04,2025-08-07,BH-11710,Brosina Hoffman,Consumer,USA,Atlanta,Georgia,South,TEC-PH-10002275,Technology,Phones,IP Phone,6794.76,5,0.0,2838.14,Retail,Charlie,Bank Transfer,4076.856,1358.952
CA-2025-100032,2026-03-10,2026-03-13,CG-12520,Claire Gute,Consumer,USA,Phoenix,Arizona,West,FUR-DE-10004567,Furniture,Desks,Office Desk,877.65,5,0.3,149.88,Online,Alice,PayPal,526.5899999999999,175.53
CA-2025-100033,2025-01-10,2025-01-11,DV-13045,Darrin Van Huff,Corporate,USA,Chicago,Illinois,Central,FUR-BO-10001798,Furniture,Bookcases,Bookcase,5267.64,6,0.0,1578.05,Retail,Alice,PayPal,3160.5840000000003,877.94
CA-2025-100034,2025-02-12,2025-02-15,EH-13945,Emily Harper,Corporate,USA,Phoenix,Arizona,West,OFF-LA-10000240,Office Supplies,Labels,Address Labels,3412.68,4,0.15,603.91,Online,Bob,Bank Transfer,2047.608,853.17
CA-2025-100035,2026-02-21,2026-02-26,SO-20335,Sean O'Donnell,Consumer,USA,Dallas,Texas,Central,FUR-DE-10004567,Furniture,Desks,Office Desk,279.24,7,0.15,49.19,Retail,Eve,Bank Transfer,167.544,39.89142857142857
CA-2025-100036,2026-02-26,2026-02-28,AA-10480,Andrew Allen,Home Office,USA,Chicago,Illinois,Central,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,6416.69,7,0.3,2261.8,Online,Eve,Bank Transfer,3850.014,916.67
CA-2025-100037,2026-04-17,2026-04-20,AA-10480,Andrew Allen,Home Office,USA,Dallas,Texas,Central,FUR-BO-10001798,Furniture,Bookcases,Bookcase,2173.37,4,0.1,320.52,Online,Bob,PayPal,1304.022,543.3425
CA-2025-100038,2025-10-13,2025-10-16,RT-17090,Robert Taylor,Corporate,USA,Philadelphia,Pennsylvania,East,TEC-LA-10000221,Technology,Laptops,Laptop,8456.78,6,0.0,1209.63,Retail,Alice,PayPal,5074.068,1409.4633333333334
CA-2025-100039,2025-09-25,2025-09-27,SB-18120,Sophia Brown,Consumer,USA,Miami,Florida,South,FUR-CH-10000111,Furniture,Chairs,Ergonomic Chair,3124.19,7,0.15,928.7,Online,David,Bank Transfer,1874.514,446.3128571428571
